Net Status Report
Filename     : F:\Git_repository\OurEDA\OurEDA-P1K\Hardware\OurEDA-P1K\OurEDA-P1K.PcbDoc
Date         : 2022/9/15
Time         : 22:10:37
Time Elapsed : 00:00:00

Nets, Layer, Length
    +12, Signal Layers Only, 2226.904mils
    +24, Signal Layers Only, 1834.56mils
    +5, Signal Layers Only, 10908.518mils
    1V05A_PHY, Signal Layers Only, 855.191mils
    1V05D_PHY, Signal Layers Only, 466.522mils
    1V05_PHY, Signal Layers Only, 543.083mils
    1V8, Signal Layers Only, 3270.008mils
    3V3, Signal Layers Only, 7739.589mils
    3V3A, Signal Layers Only, 2759.119mils
    6V, Signal Layers Only, 3637.082mils
    AF2V8, Signal Layers Only, 168.126mils
    AVDD_2V8, Signal Layers Only, 468.981mils
    BEEP, Signal Layers Only, 3304.143mils
    CAM_GND, Signal Layers Only, 0mils
    DGND, Signal Layers Only, 9562.601mils
    DOVDD_2V8, Signal Layers Only, 761.84mils
    DVDD_1V5, Signal Layers Only, 381.636mils
    ETH_LED0, Signal Layers Only, 140.849mils
    ETH_LED1, Signal Layers Only, 146.473mils
    ETH_OUT, Signal Layers Only, 641.933mils
    ETH_Rx_N, Signal Layers Only, 680.732mils
    ETH_Rx_P, Signal Layers Only, 690.759mils
    ETH_Tx_N, Signal Layers Only, 521.477mils
    ETH_Tx_P, Signal Layers Only, 565.782mils
    ETH_XTAL, Signal Layers Only, 101.903mils
    F20_Button, Signal Layers Only, 2929.966mils
    FPGA_TCK, Signal Layers Only, 904.064mils
    FPGA_TDI, Signal Layers Only, 802.72mils
    FPGA_TDO, Signal Layers Only, 853.392mils
    FPGA_TMS, Signal Layers Only, 754.978mils
    H18, Signal Layers Only, 2231.989mils
    J18, Signal Layers Only, 2239.349mils
    L16, Signal Layers Only, 2517.631mils
    LED_OUT, Signal Layers Only, 713.009mils
    M14, Signal Layers Only, 1203.478mils
    M15, Signal Layers Only, 1119.279mils
    MDC, Signal Layers Only, 202.431mils
    MDC_FPGA, Signal Layers Only, 605.615mils
